run_name,accuracy,macro_f1,unique_true_labels,unique_pred_labels,World_precision,World_recall,World_f1,World_support,World_true_count,World_pred_count,Sports_precision,Sports_recall,Sports_f1,Sports_support,Sports_true_count,Sports_pred_count,Business_precision,Business_recall,Business_f1,Business_support,Business_true_count,Business_pred_count,Sci/Tech_precision,Sci/Tech_recall,Sci/Tech_f1,Sci/Tech_support,Sci/Tech_true_count,Sci/Tech_pred_count
full_bert-base-uncased_seed0_ep0_lr2e-05_bs16_ml128,0.32973684210526316,0.2527355756334019,"[0, 1, 2, 3]","[0, 1, 2]",0.27715205148833466,0.7252631578947368,0.4010477299185099,1900,1900,4972,0.43832020997375326,0.08789473684210526,0.1464270056992547,1900,1900,381,0.42768135291499776,0.5057894736842106,0.4634675669158428,1900,1900,2247,0.0,0.0,0.0,1900,1900,0
full_distilbert-base-uncased_seed0_ep0_lr2e-05_bs16_ml128,0.2669736842105263,0.15209869834034523,"[0, 1, 2, 3]","[2, 3]",0.0,0.0,0.0,1900,1900,0,0.0,0.0,0.0,1900,1900,0,0.25757575757575757,0.921578947368421,0.4026212922510922,1900,1900,6798,0.34663341645885287,0.1463157894736842,0.20577350111028866,1900,1900,802
full_t5-small_seed0_ep0_lr2e-05_bs16_ml128,0.24460526315789474,0.10539019912798202,"[0, 1, 2, 3]","[0, 2, 3]",0.2222222222222222,0.003157894736842105,0.006227296315516347,1900,1900,27,0.0,0.0,0.0,1900,1900,0,0.25583657587548636,0.9689473684210527,0.40479331574318383,1900,1900,7196,0.03183023872679045,0.00631578947368421,0.010540184453227932,1900,1900,377
