section_model,section_fs,caption,label,tau,alpha,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,latency_mean,latency_std,retain_mean,retain_std,n_runs,support_seed,rank_in_section,is_best_accuracy,is_best_latency,row_color,Accuracy (± std),F1 Macro (± std),"Latency (± std, ms)",Retain (± std),Accuracy (LaTeX),F1 Macro (LaTeX),Latency (LaTeX),Retain (LaTeX)
T5-small,10,T5-small student results for FS=10.,tab:t5small_fs10,0.1,0.3,0.2833026315789474,0.03786119017480504,0.21929343859519426,0.060455850413560684,14.659366999952303,1.5769308340038983,0.3072784358498645,0.041065369677253945,10,123,1,True,False,green!15,0.2833 ± 0.0379,0.2193 ± 0.0605,14.66 ± 1.58,0.3073 ± 0.0411,0.2833 $\pm$ 0.0379,0.2193 $\pm$ 0.0605,14.66 $\pm$ 1.58,0.3073 $\pm$ 0.0411
T5-small,10,T5-small student results for FS=10.,tab:t5small_fs10,0.1,0.5,0.2815657894736842,0.0386723462134086,0.20949149987061672,0.05958615540473989,14.655715026638063,3.092286877124557,0.30539460539460545,0.04194517357241408,10,123,2,False,False,,0.2816 ± 0.0387,0.2095 ± 0.0596,14.66 ± 3.09,0.3054 ± 0.0419,0.2816 $\pm$ 0.0387,0.2095 $\pm$ 0.0596,14.66 $\pm$ 3.09,0.3054 $\pm$ 0.0419
T5-small,10,T5-small student results for FS=10.,tab:t5small_fs10,0.1,0.7,0.2793157894736842,0.037046363604610694,0.20220612487513576,0.05827574046323736,14.61347466010011,1.8725643096128546,0.30295418866847446,0.04018158461467692,10,123,3,False,False,,0.2793 ± 0.0370,0.2022 ± 0.0583,14.61 ± 1.87,0.3030 ± 0.0402,0.2793 $\pm$ 0.0370,0.2022 $\pm$ 0.0583,14.61 $\pm$ 1.87,0.3030 $\pm$ 0.0402
T5-small,10,T5-small student results for FS=10.,tab:t5small_fs10,1.5,0.5,0.27919736842105264,0.036705125994038315,0.20996064033905798,0.05981475909719175,13.933867506690756,1.986931527492391,0.30282574568288856,0.03981146818248768,10,123,4,False,False,,0.2792 ± 0.0367,0.2100 ± 0.0598,13.93 ± 1.99,0.3028 ± 0.0398,0.2792 $\pm$ 0.0367,0.2100 $\pm$ 0.0598,13.93 $\pm$ 1.99,0.3028 $\pm$ 0.0398
T5-small,10,T5-small student results for FS=10.,tab:t5small_fs10,2.0,0.5,0.2790789473684211,0.03687195949977479,0.20965694751069047,0.059949627836632984,14.778899986661903,2.6529472512421406,0.3026973026973028,0.039992420750433626,10,123,5,False,False,,0.2791 ± 0.0369,0.2097 ± 0.0599,14.78 ± 2.65,0.3027 ± 0.0400,0.2791 $\pm$ 0.0369,0.2097 $\pm$ 0.0599,14.78 $\pm$ 2.65,0.3027 $\pm$ 0.0400
T5-small,10,T5-small student results for FS=10.,tab:t5small_fs10,1.0,0.5,0.27907894736842104,0.03681625032629807,0.21016287690117985,0.059588957272172484,13.277229773323901,1.8620040742509774,0.30269730269730266,0.039931996928766283,10,123,6,False,False,,0.2791 ± 0.0368,0.2102 ± 0.0596,13.28 ± 1.86,0.3027 ± 0.0399,0.2791 $\pm$ 0.0368,0.2102 $\pm$ 0.0596,13.28 $\pm$ 1.86,0.3027 $\pm$ 0.0399
T5-small,10,T5-small student results for FS=10.,tab:t5small_fs10,2.5,0.5,0.27898684210526314,0.03667501006811667,0.20951260470891256,0.05974679498219402,14.507197846596682,1.584675336730939,0.30259740259740264,0.03977880355611342,10,123,7,False,False,,0.2790 ± 0.0367,0.2095 ± 0.0597,14.51 ± 1.58,0.3026 ± 0.0398,0.2790 $\pm$ 0.0367,0.2095 $\pm$ 0.0597,14.51 $\pm$ 1.58,0.3026 $\pm$ 0.0398
T5-small,10,T5-small student results for FS=10.,tab:t5small_fs10,3.0,0.5,0.27894736842105267,0.03683442902486994,0.2093468825447898,0.05993150584859064,13.91240670667988,2.11453182594049,0.30255458826887405,0.039951714084345884,10,123,8,False,False,,0.2789 ± 0.0368,0.2093 ± 0.0599,13.91 ± 2.11,0.3026 ± 0.0400,0.2789 $\pm$ 0.0368,0.2093 $\pm$ 0.0599,13.91 $\pm$ 2.11,0.3026 $\pm$ 0.0400
T5-small,10,T5-small student results for FS=10.,tab:t5small_fs10,0.5,0.3,0.2788552631578947,0.036373114028503274,0.21719346486070643,0.060154793085835975,14.998974960108168,2.4899123695578234,0.3024546881689739,0.039451358158502196,10,123,9,False,False,,0.2789 ± 0.0364,0.2172 ± 0.0602,15.00 ± 2.49,0.3025 ± 0.0395,0.2789 $\pm$ 0.0364,0.2172 $\pm$ 0.0602,15.00 $\pm$ 2.49,0.3025 $\pm$ 0.0395
T5-small,10,T5-small student results for FS=10.,tab:t5small_fs10,0.5,0.5,0.2787894736842106,0.03695309097483787,0.21059957109290214,0.059215837199489134,14.523996873340366,2.1382279503189454,0.30238333095475955,0.04008041835432679,10,123,10,False,False,,0.2788 ± 0.0370,0.2106 ± 0.0592,14.52 ± 2.14,0.3024 ± 0.0401,0.2788 $\pm$ 0.0370,0.2106 $\pm$ 0.0592,14.52 $\pm$ 2.14,0.3024 $\pm$ 0.0401
T5-small,10,T5-small student results for FS=10.,tab:t5small_fs10,0.1,0.1,0.27875000000000005,0.03618244280636859,0.22567136079898864,0.060177365730278945,15.1253726934389,1.7706365634473762,0.30234051662623096,0.03924455049641805,10,123,11,False,False,,0.2788 ± 0.0362,0.2257 ± 0.0602,15.13 ± 1.77,0.3023 ± 0.0392,0.2788 $\pm$ 0.0362,0.2257 $\pm$ 0.0602,15.13 $\pm$ 1.77,0.3023 $\pm$ 0.0392
T5-small,10,T5-small student results for FS=10.,tab:t5small_fs10,1.0,0.7,0.2786447368421053,0.03669016549533539,0.20352522564345538,0.058312373645532045,13.487121206659747,1.4826441055666746,0.30222634508348795,0.03979524158192507,10,123,12,False,False,,0.2786 ± 0.0367,0.2035 ± 0.0583,13.49 ± 1.48,0.3022 ± 0.0398,0.2786 $\pm$ 0.0367,0.2035 $\pm$ 0.0583,13.49 $\pm$ 1.48,0.3022 $\pm$ 0.0398
T5-small,10,T5-small student results for FS=10.,tab:t5small_fs10,0.5,0.7,0.27861842105263157,0.036839037570695544,0.20381943103688577,0.05847729153367981,13.944916193313478,2.125687659808905,0.3021978021978021,0.03995671264981964,10,123,13,False,False,,0.2786 ± 0.0368,0.2038 ± 0.0585,13.94 ± 2.13,0.3022 ± 0.0400,0.2786 $\pm$ 0.0368,0.2038 $\pm$ 0.0585,13.94 $\pm$ 2.13,0.3022 $\pm$ 0.0400
T5-small,10,T5-small student results for FS=10.,tab:t5small_fs10,1.5,0.7,0.27846052631578944,0.036698553351567915,0.2031451592621869,0.05830191622943641,14.035451286751291,1.6522414723568042,0.30202654488368774,0.039804339299545625,10,123,14,False,False,,0.2785 ± 0.0367,0.2031 ± 0.0583,14.04 ± 1.65,0.3020 ± 0.0398,0.2785 $\pm$ 0.0367,0.2031 $\pm$ 0.0583,14.04 $\pm$ 1.65,0.3020 $\pm$ 0.0398
T5-small,10,T5-small student results for FS=10.,tab:t5small_fs10,2.5,0.7,0.27825,0.03655759242436248,0.2027461586656755,0.05818748249801442,15.704340986843212,3.413218764065491,0.3017982017982018,0.039651448897553135,10,123,15,False,False,,0.2782 ± 0.0366,0.2027 ± 0.0582,15.70 ± 3.41,0.3018 ± 0.0397,0.2782 $\pm$ 0.0366,0.2027 $\pm$ 0.0582,15.70 $\pm$ 3.41,0.3018 $\pm$ 0.0397
T5-small,10,T5-small student results for FS=10.,tab:t5small_fs10,3.0,0.7,0.27822368421052635,0.0365687041276536,0.20267850581686178,0.0582417851526835,15.010781580018982,1.8424316538776462,0.30176965891251606,0.039663500980472007,10,123,16,False,False,,0.2782 ± 0.0366,0.2027 ± 0.0582,15.01 ± 1.84,0.3018 ± 0.0397,0.2782 $\pm$ 0.0366,0.2027 $\pm$ 0.0582,15.01 $\pm$ 1.84,0.3018 $\pm$ 0.0397
T5-small,10,T5-small student results for FS=10.,tab:t5small_fs10,2.0,0.7,0.2781447368421053,0.03660315419740679,0.202738521258285,0.05814848069607259,13.943104846745578,1.4855335820726259,0.3016840302554588,0.03970086654777959,10,123,17,False,False,,0.2781 ± 0.0366,0.2027 ± 0.0581,13.94 ± 1.49,0.3017 ± 0.0397,0.2781 $\pm$ 0.0366,0.2027 $\pm$ 0.0581,13.94 $\pm$ 1.49,0.3017 $\pm$ 0.0397
T5-small,10,T5-small student results for FS=10.,tab:t5small_fs10,1.0,0.3,0.27786842105263154,0.03608787281735206,0.2152692034462269,0.06130917273139443,13.829003306591403,1.6225835670344873,0.3013843299557586,0.039141977081757644,10,123,18,False,False,,0.2779 ± 0.0361,0.2153 ± 0.0613,13.83 ± 1.62,0.3014 ± 0.0391,0.2779 $\pm$ 0.0361,0.2153 $\pm$ 0.0613,13.83 $\pm$ 1.62,0.3014 $\pm$ 0.0391
T5-small,10,T5-small student results for FS=10.,tab:t5small_fs10,3.0,0.3,0.2776842105263158,0.03597668827320572,0.21384082930696113,0.06182451585466905,13.042626033308505,1.799665710582769,0.30118452975595833,0.03902138302788118,10,123,19,False,True,blue!12,0.2777 ± 0.0360,0.2138 ± 0.0618,13.04 ± 1.80,0.3012 ± 0.0390,0.2777 $\pm$ 0.0360,0.2138 $\pm$ 0.0618,13.04 $\pm$ 1.80,0.3012 $\pm$ 0.0390
T5-small,10,T5-small student results for FS=10.,tab:t5small_fs10,2.5,0.3,0.27765789473684216,0.03610929512208184,0.21396279714452016,0.06178839508938156,13.355770599964671,1.910951933218403,0.30115598687027256,0.039165212348768665,10,123,20,False,False,,0.2777 ± 0.0361,0.2140 ± 0.0618,13.36 ± 1.91,0.3012 ± 0.0392,0.2777 $\pm$ 0.0361,0.2140 $\pm$ 0.0618,13.36 $\pm$ 1.91,0.3012 $\pm$ 0.0392
T5-small,10,T5-small student results for FS=10.,tab:t5small_fs10,2.0,0.3,0.2776578947368421,0.03611520799735071,0.21411163043723266,0.061689480213357704,13.66465653339219,1.4294572237478707,0.30115598687027256,0.03917162562863786,10,123,21,False,False,,0.2777 ± 0.0361,0.2141 ± 0.0617,13.66 ± 1.43,0.3012 ± 0.0392,0.2777 $\pm$ 0.0361,0.2141 $\pm$ 0.0617,13.66 $\pm$ 1.43,0.3012 $\pm$ 0.0392
T5-small,10,T5-small student results for FS=10.,tab:t5small_fs10,1.5,0.3,0.27751315789473685,0.036056390400374484,0.21438659131147922,0.061402901041792614,14.427974086714434,3.0325506071156183,0.300999000999001,0.039107830318659345,10,123,22,False,False,,0.2775 ± 0.0361,0.2144 ± 0.0614,14.43 ± 3.03,0.3010 ± 0.0391,0.2775 $\pm$ 0.0361,0.2144 $\pm$ 0.0614,14.43 $\pm$ 3.03,0.3010 $\pm$ 0.0391
T5-small,10,T5-small student results for FS=10.,tab:t5small_fs10,0.1,0.9,0.2771315789473684,0.0349124349815863,0.19653312142157775,0.0564108300735463,13.689368213363196,1.8503660905195398,0.3005851291565577,0.037867062346233174,10,123,23,False,False,,0.2771 ± 0.0349,0.1965 ± 0.0564,13.69 ± 1.85,0.3006 ± 0.0379,0.2771 $\pm$ 0.0349,0.1965 $\pm$ 0.0564,13.69 $\pm$ 1.85,0.3006 $\pm$ 0.0379
T5-small,10,T5-small student results for FS=10.,tab:t5small_fs10,2.0,0.9,0.27685526315789477,0.03527801740248169,0.19680703740094513,0.05665472573592111,13.80705517989251,1.5032055538637559,0.30028542885685744,0.038263583881669866,10,123,24,False,False,,0.2769 ± 0.0353,0.1968 ± 0.0567,13.81 ± 1.50,0.3003 ± 0.0383,0.2769 $\pm$ 0.0353,0.1968 $\pm$ 0.0567,13.81 $\pm$ 1.50,0.3003 $\pm$ 0.0383
T5-small,10,T5-small student results for FS=10.,tab:t5small_fs10,1.0,0.9,0.27680263157894736,0.035299037454931986,0.1968915656785726,0.05662295756507784,14.302375166589627,2.3419957543426775,0.30022834308548596,0.038286382853929365,10,123,25,False,False,,0.2768 ± 0.0353,0.1969 ± 0.0566,14.30 ± 2.34,0.3002 ± 0.0383,0.2768 $\pm$ 0.0353,0.1969 $\pm$ 0.0566,14.30 $\pm$ 2.34,0.3002 $\pm$ 0.0383
