group_type,group_model,n_runs,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,retain_mean,retain_std
full,bert-base-uncased,1,0.9464473684210526,0.0,0.9464722177742799,0.0,,
full,distilbert-base-uncased,1,0.9471052631578948,0.0,0.9471282215139885,0.0,,
full,t5-small,1,0.25092105263157893,0.0,0.10191866305157339,0.0,,
teacher,bert-base-uncased,3,0.5926754385964913,0.10156210091192276,0.5490319751839738,0.1464812100762374,0.6262106677788591,0.10730876782018814
teacher,distilbert-base-uncased,3,0.8012280701754385,0.030555037909378913,0.7947019636882611,0.03955590414975961,0.8459757340001852,0.032261501543662086
teacher,t5-small,3,0.26627192982456144,0.0024130780181541903,0.13705101061680322,0.0061379253582231645,1.0611781157140359,0.009616881456723556
student,distilbert-base-uncased,1,0.7297368421052631,0.0,0.701680855428356,0.0,0.7704918032786885,0.0
ensemble,ensemble,1,0.6501315789473684,0.0,0.590266228622471,0.0,,
