section_model,section_fs,caption,label,tau,alpha,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,latency_mean,latency_std,retain_mean,retain_std,n_runs,support_seed,rank_in_section,is_best_accuracy,is_best_latency,row_color,Accuracy (± std),F1 Macro (± std),"Latency (± std, ms)",Retain (± std),Accuracy (LaTeX),F1 Macro (LaTeX),Latency (LaTeX),Retain (LaTeX)
distilBERT,100,distilBERT student results for FS=100.,tab:distilbert_fs100,3.0,0.1,0.8678552631578947,0.003641698123138102,0.8673832216913919,0.0037697888371239245,3.9779014465602813,0.8550450343846598,0.9163239788830229,0.0038450827640802306,10,123,1,True,False,green!15,0.8679 ± 0.0036,0.8674 ± 0.0038,3.98 ± 0.86,0.9163 ± 0.0038,0.8679 $\pm$ 0.0036,0.8674 $\pm$ 0.0038,3.98 $\pm$ 0.86,0.9163 $\pm$ 0.0038
distilBERT,100,distilBERT student results for FS=100.,tab:distilbert_fs100,2.5,0.1,0.867842105263158,0.004403998015737803,0.8673433687062533,0.004481196064833788,3.613166320064921,0.3241877327944105,0.9163100861350376,0.004649956226675102,10,123,2,False,False,,0.8678 ± 0.0044,0.8673 ± 0.0045,3.61 ± 0.32,0.9163 ± 0.0046,0.8678 $\pm$ 0.0044,0.8673 $\pm$ 0.0045,3.61 $\pm$ 0.32,0.9163 $\pm$ 0.0046
distilBERT,100,distilBERT student results for FS=100.,tab:distilbert_fs100,2.0,0.1,0.8677105263157895,0.003741821902235022,0.8672059472657029,0.003928843719561345,3.635087826757323,0.40951681071600665,0.9161711586551821,0.0039507983407871886,10,123,3,False,False,,0.8677 ± 0.0037,0.8672 ± 0.0039,3.64 ± 0.41,0.9162 ± 0.0040,0.8677 $\pm$ 0.0037,0.8672 $\pm$ 0.0039,3.64 $\pm$ 0.41,0.9162 $\pm$ 0.0040
distilBERT,100,distilBERT student results for FS=100.,tab:distilbert_fs100,1.5,0.1,0.8675657894736842,0.004096711929138756,0.8671067182211152,0.004184313326598717,3.353527526560356,0.27540934701281217,0.9160183384273408,0.0043255085664704734,10,123,4,False,True,blue!12,0.8676 ± 0.0041,0.8671 ± 0.0042,3.35 ± 0.28,0.9160 ± 0.0043,0.8676 $\pm$ 0.0041,0.8671 $\pm$ 0.0042,3.35 $\pm$ 0.28,0.9160 $\pm$ 0.0043
distilBERT,100,distilBERT student results for FS=100.,tab:distilbert_fs100,3.0,0.3,0.867328947368421,0.0036554064067855527,0.8667433159232495,0.003782887018184572,3.784563639880313,0.6683388448051828,0.915768268963601,0.003859556639562408,10,123,5,False,False,,0.8673 ± 0.0037,0.8667 ± 0.0038,3.78 ± 0.67,0.9158 ± 0.0039,0.8673 $\pm$ 0.0037,0.8667 $\pm$ 0.0038,3.78 $\pm$ 0.67,0.9158 $\pm$ 0.0039
distilBERT,100,distilBERT student results for FS=100.,tab:distilbert_fs100,2.5,0.3,0.8672105263157894,0.0035370570458219098,0.8666606781780428,0.003669484319613026,3.5462336466298447,0.42638453478807586,0.9156432342317309,0.003734597603257373,10,123,6,False,False,,0.8672 ± 0.0035,0.8667 ± 0.0037,3.55 ± 0.43,0.9156 ± 0.0037,0.8672 $\pm$ 0.0035,0.8667 $\pm$ 0.0037,3.55 $\pm$ 0.43,0.9156 $\pm$ 0.0037
distilBERT,100,distilBERT student results for FS=100.,tab:distilbert_fs100,1.0,0.1,0.866907894736842,0.0040745826487086105,0.8663426673001338,0.004248465142245407,3.5214456867591557,0.3610936289692157,0.9153237010280633,0.004302143391245543,10,123,7,False,False,,0.8669 ± 0.0041,0.8663 ± 0.0042,3.52 ± 0.36,0.9153 ± 0.0043,0.8669 $\pm$ 0.0041,0.8663 $\pm$ 0.0042,3.52 $\pm$ 0.36,0.9153 $\pm$ 0.0043
distilBERT,100,distilBERT student results for FS=100.,tab:distilbert_fs100,2.0,0.3,0.866907894736842,0.003725876547607926,0.8663328420677077,0.0038630498778524,3.6533680799523913,0.3527398020842369,0.9153237010280633,0.00393396245649074,10,123,8,False,False,,0.8669 ± 0.0037,0.8663 ± 0.0039,3.65 ± 0.35,0.9153 ± 0.0039,0.8669 $\pm$ 0.0037,0.8663 $\pm$ 0.0039,3.65 $\pm$ 0.35,0.9153 $\pm$ 0.0039
distilBERT,100,distilBERT student results for FS=100.,tab:distilbert_fs100,1.5,0.3,0.866842105263158,0.00380998752289192,0.8662487701808862,0.003929160098396594,4.006795980227859,0.8556370898552186,0.9152542372881355,0.004022770932756127,10,123,9,False,False,,0.8668 ± 0.0038,0.8662 ± 0.0039,4.01 ± 0.86,0.9153 ± 0.0040,0.8668 $\pm$ 0.0038,0.8662 $\pm$ 0.0039,4.01 $\pm$ 0.86,0.9153 $\pm$ 0.0040
distilBERT,100,distilBERT student results for FS=100.,tab:distilbert_fs100,0.1,0.5,0.866263157894737,0.0037883160999973983,0.8658231981094018,0.004113060735520586,3.491824013144651,0.5306358397838038,0.9146429563767715,0.003999889185882219,10,123,10,False,False,,0.8663 ± 0.0038,0.8658 ± 0.0041,3.49 ± 0.53,0.9146 ± 0.0040,0.8663 $\pm$ 0.0038,0.8658 $\pm$ 0.0041,3.49 $\pm$ 0.53,0.9146 $\pm$ 0.0040
distilBERT,100,distilBERT student results for FS=100.,tab:distilbert_fs100,2.5,0.7,0.866157894736842,0.0030912808406989706,0.8654793226947242,0.0034274922699616133,3.760405766661279,0.5293382324512262,0.9145318143928869,0.0032639253111019766,10,123,11,False,False,,0.8662 ± 0.0031,0.8655 ± 0.0034,3.76 ± 0.53,0.9145 ± 0.0033,0.8662 $\pm$ 0.0031,0.8655 $\pm$ 0.0034,3.76 $\pm$ 0.53,0.9145 $\pm$ 0.0033
distilBERT,100,distilBERT student results for FS=100.,tab:distilbert_fs100,2.5,0.5,0.8661447368421052,0.0032122814203722695,0.8654625713806942,0.0033586349205277297,3.4206498266333556,0.387482531338827,0.9145179216449012,0.0033916836336245187,10,123,12,False,False,,0.8661 ± 0.0032,0.8655 ± 0.0034,3.42 ± 0.39,0.9145 ± 0.0034,0.8661 $\pm$ 0.0032,0.8655 $\pm$ 0.0034,3.42 $\pm$ 0.39,0.9145 $\pm$ 0.0034
