section_model,section_fs,caption,label,tau,alpha,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,latency_mean,latency_std,retain_mean,retain_std,n_runs,support_seed,rank_in_section,is_best_accuracy,is_best_latency,row_colour,Accuracy (± std),F1 Macro (± std),"Latency (± std, ms)",Retain (± std),Accuracy (LaTeX),F1 Macro (LaTeX),Latency (LaTeX),Retain (LaTeX)
T5-small,1000,T5-small student results for FS=1000.,tab:t5small_fs1000,0.5,0.3,0.8895657894736843,0.0017631906255144805,0.8893702453566869,0.0018062736606171668,13.95996795326937,2.2100231514499447,0.9648494362780078,0.0019124088417168765,10,123,13,False,False,,0.8896 ± 0.0018,0.8894 ± 0.0018,13.96 ± 2.21,0.9648 ± 0.0019,0.8896 $\pm$ 0.0018,0.8894 $\pm$ 0.0018,13.96 $\pm$ 2.21,0.9648 $\pm$ 0.0019
T5-small,1000,T5-small student results for FS=1000.,tab:t5small_fs1000,2.5,0.1,0.8895526315789475,0.0011339225017936128,0.8893115420534073,0.001128896942268196,13.799065413331846,1.3568663565114034,0.964835164835165,0.0012298859731170665,10,123,14,False,False,,0.8896 ± 0.0011,0.8893 ± 0.0011,13.80 ± 1.36,0.9648 ± 0.0012,0.8896 $\pm$ 0.0011,0.8893 $\pm$ 0.0011,13.80 $\pm$ 1.36,0.9648 $\pm$ 0.0012
T5-small,1000,T5-small student results for FS=1000.,tab:t5small_fs1000,0.5,0.9,0.8895394736842104,0.0017057400423359805,0.8893293556521147,0.0016921891721403412,14.50376368050153,2.0434390083706173,0.964820893392322,0.0018500962354436187,10,123,15,False,False,,0.8895 ± 0.0017,0.8893 ± 0.0017,14.50 ± 2.04,0.9648 ± 0.0019,0.8895 $\pm$ 0.0017,0.8893 $\pm$ 0.0017,14.50 $\pm$ 2.04,0.9648 $\pm$ 0.0019
T5-small,1000,T5-small student results for FS=1000.,tab:t5small_fs1000,3.0,0.1,0.8894868421052632,0.0012688256130934429,0.8892422375820264,0.0012692684064599424,14.236982140719192,1.6197915889206733,0.9647638076209505,0.0013762058883274228,10,123,16,False,False,,0.8895 ± 0.0013,0.8892 ± 0.0013,14.24 ± 1.62,0.9648 ± 0.0014,0.8895 $\pm$ 0.0013,0.8892 $\pm$ 0.0013,14.24 $\pm$ 1.62,0.9648 $\pm$ 0.0014
T5-small,1000,T5-small student results for FS=1000.,tab:t5small_fs1000,1.5,0.1,0.8894736842105262,0.0009406846749792617,0.8892427406742506,0.0009909343412029261,13.840504788434675,1.4688230339647657,0.9647495361781078,0.0010202944954819937,10,123,17,False,False,,0.8895 ± 0.0009,0.8892 ± 0.0010,13.84 ± 1.47,0.9647 ± 0.0010,0.8895 $\pm$ 0.0009,0.8892 $\pm$ 0.0010,13.84 $\pm$ 1.47,0.9647 $\pm$ 0.0010
T5-small,1000,T5-small student results for FS=1000.,tab:t5small_fs1000,2.0,0.7,0.8894605263157894,0.001799261587195333,0.8892247914369742,0.0018262327715853409,13.43386410594879,1.366196608935002,0.9647352647352647,0.0019515324764784365,10,123,18,False,False,,0.8895 ± 0.0018,0.8892 ± 0.0018,13.43 ± 1.37,0.9647 ± 0.0020,0.8895 $\pm$ 0.0018,0.8892 $\pm$ 0.0018,13.43 $\pm$ 1.37,0.9647 $\pm$ 0.0020
T5-small,1000,T5-small student results for FS=1000.,tab:t5small_fs1000,1.0,0.9,0.8894342105263158,0.0012250118560239306,0.8892074072167014,0.001274426143120159,13.467852966229355,1.386652767806686,0.9647067218495791,0.0013286841880664902,10,123,19,False,False,,0.8894 ± 0.0012,0.8892 ± 0.0013,13.47 ± 1.39,0.9647 ± 0.0013,0.8894 $\pm$ 0.0012,0.8892 $\pm$ 0.0013,13.47 $\pm$ 1.39,0.9647 $\pm$ 0.0013
T5-small,1000,T5-small student results for FS=1000.,tab:t5small_fs1000,1.0,0.1,0.8893815789473685,0.001212384157872576,0.8891625359720958,0.0012274419949751829,13.307597786430657,1.0653541670218658,0.9646496360782075,0.0013149878121637665,10,123,20,False,False,,0.8894 ± 0.0012,0.8892 ± 0.0012,13.31 ± 1.07,0.9646 ± 0.0013,0.8894 $\pm$ 0.0012,0.8892 $\pm$ 0.0012,13.31 $\pm$ 1.07,0.9646 $\pm$ 0.0013
T5-small,1000,T5-small student results for FS=1000.,tab:t5small_fs1000,1.0,0.3,0.8893684210526317,0.001254109894783261,0.889139181722902,0.0012654349505488193,13.883041694304362,1.2749049678522109,0.9646353646353646,0.001360244783837987,10,123,21,False,False,,0.8894 ± 0.0013,0.8891 ± 0.0013,13.88 ± 1.27,0.9646 ± 0.0014,0.8894 $\pm$ 0.0013,0.8891 $\pm$ 0.0013,13.88 $\pm$ 1.27,0.9646 $\pm$ 0.0014
T5-small,1000,T5-small student results for FS=1000.,tab:t5small_fs1000,0.5,0.7,0.8893552631578947,0.0015046480770072891,0.8891446479868815,0.0015182892114478789,14.43030472684768,1.755530489126863,0.9646210931925218,0.0016319859262530977,10,123,22,False,False,,0.8894 ± 0.0015,0.8891 ± 0.0015,14.43 ± 1.76,0.9646 ± 0.0016,0.8894 $\pm$ 0.0015,0.8891 $\pm$ 0.0015,14.43 $\pm$ 1.76,0.9646 $\pm$ 0.0016
T5-small,1000,T5-small student results for FS=1000.,tab:t5small_fs1000,2.5,0.7,0.8893421052631579,0.00186493786188329,0.8891035796347921,0.001882298031144074,14.38366227982139,1.9674819739254996,0.964606821749679,0.0020227669117044416,10,123,23,False,False,,0.8893 ± 0.0019,0.8891 ± 0.0019,14.38 ± 1.97,0.9646 ± 0.0020,0.8893 $\pm$ 0.0019,0.8891 $\pm$ 0.0019,14.38 $\pm$ 1.97,0.9646 $\pm$ 0.0020
T5-small,1000,T5-small student results for FS=1000.,tab:t5small_fs1000,0.1,0.9,0.8893421052631579,0.00188341320645471,0.8891340029715771,0.0019081456001297332,14.82054150023032,2.4018653362861078,0.9646068217496788,0.00204280581833249,10,123,24,False,False,,0.8893 ± 0.0019,0.8891 ± 0.0019,14.82 ± 2.40,0.9646 ± 0.0020,0.8893 $\pm$ 0.0019,0.8891 $\pm$ 0.0019,14.82 $\pm$ 2.40,0.9646 $\pm$ 0.0020
T5-small,1000,T5-small student results for FS=1000.,tab:t5small_fs1000,3.0,0.3,0.8893289473684213,0.0010479611300087675,0.8890678227147198,0.0010636708045125636,13.325173746416112,1.5995735924957868,0.964592550306836,0.0011366497200037782,10,123,25,False,False,,0.8893 ± 0.0010,0.8891 ± 0.0011,13.33 ± 1.60,0.9646 ± 0.0011,0.8893 $\pm$ 0.0010,0.8891 $\pm$ 0.0011,13.33 $\pm$ 1.60,0.9646 $\pm$ 0.0011
T5-small,1000,T5-small student results for FS=1000.,tab:t5small_fs1000,3.0,0.7,0.8893026315789474,0.0012877868188235179,0.8890753488550341,0.0013205273388424775,14.03443984745536,1.6521779695546233,0.9645640074211503,0.001396771774376854,10,123,26,False,False,,0.8893 ± 0.0013,0.8891 ± 0.0013,14.03 ± 1.65,0.9646 ± 0.0014,0.8893 $\pm$ 0.0013,0.8891 $\pm$ 0.0013,14.03 $\pm$ 1.65,0.9646 $\pm$ 0.0014
T5-small,1000,T5-small student results for FS=1000.,tab:t5small_fs1000,0.5,0.5,0.8892368421052632,0.0011484194981791656,0.8890292869744705,0.0012235764908207361,14.338307105887603,1.8097559908971652,0.964492650206936,0.00124560984532063,10,123,27,False,False,,0.8892 ± 0.0011,0.8890 ± 0.0012,14.34 ± 1.81,0.9645 ± 0.0012,0.8892 $\pm$ 0.0011,0.8890 $\pm$ 0.0012,14.34 $\pm$ 1.81,0.9645 $\pm$ 0.0012
T5-small,1000,T5-small student results for FS=1000.,tab:t5small_fs1000,1.5,0.9,0.889236842105263,0.0018398064185508303,0.8890057637820965,0.0018428198469116603,13.917787793761818,1.6134771293670835,0.964492650206936,0.0019955086029664927,10,123,28,False,False,,0.8892 ± 0.0018,0.8890 ± 0.0018,13.92 ± 1.61,0.9645 ± 0.0020,0.8892 $\pm$ 0.0018,0.8890 $\pm$ 0.0018,13.92 $\pm$ 1.61,0.9645 $\pm$ 0.0020
T5-small,1000,T5-small student results for FS=1000.,tab:t5small_fs1000,3.0,0.9,0.8892236842105262,0.0013986346285766126,0.8889966665483164,0.00142049414525213,15.068853499882001,2.18528704289841,0.964478378764093,0.0015170005961441752,10,123,29,False,False,,0.8892 ± 0.0014,0.8890 ± 0.0014,15.07 ± 2.19,0.9645 ± 0.0015,0.8892 $\pm$ 0.0014,0.8890 $\pm$ 0.0014,15.07 $\pm$ 2.19,0.9645 $\pm$ 0.0015
T5-small,1000,T5-small student results for FS=1000.,tab:t5small_fs1000,0.1,0.3,0.8892105263157895,0.0013827967342486315,0.8889952043318636,0.0014199365949984285,15.222553966887066,1.8277253662188397,0.9644641073212501,0.0014998223462665376,10,123,30,False,False,,0.8892 ± 0.0014,0.8890 ± 0.0014,15.22 ± 1.83,0.9645 ± 0.0015,0.8892 $\pm$ 0.0014,0.8890 $\pm$ 0.0014,15.22 $\pm$ 1.83,0.9645 $\pm$ 0.0015
T5-small,1000,T5-small student results for FS=1000.,tab:t5small_fs1000,1.5,0.7,0.8891973684210525,0.0014068627687545548,0.8889787493086496,0.001432260897033496,13.496058719222978,1.141004455251198,0.9644498358784073,0.001525925080995389,10,123,31,False,False,,0.8892 ± 0.0014,0.8890 ± 0.0014,13.50 ± 1.14,0.9644 ± 0.0015,0.8892 $\pm$ 0.0014,0.8890 $\pm$ 0.0014,13.50 $\pm$ 1.14,0.9644 $\pm$ 0.0015
T5-small,1000,T5-small student results for FS=1000.,tab:t5small_fs1000,2.5,0.9,0.8890657894736842,0.0014312634026167398,0.8888393620275916,0.0014464994566357066,14.238028886369042,2.0293246576994592,0.9643071214499785,0.0015523907321089222,10,123,32,False,False,,0.8891 ± 0.0014,0.8888 ± 0.0014,14.24 ± 2.03,0.9643 ± 0.0016,0.8891 $\pm$ 0.0014,0.8888 $\pm$ 0.0014,14.24 $\pm$ 2.03,0.9643 $\pm$ 0.0016
T5-small,1000,T5-small student results for FS=1000.,tab:t5small_fs1000,2.0,0.9,0.889013157894737,0.0015559361206198806,0.888784751679761,0.001568066946256303,15.089112752223931,2.1789937095953067,0.9642500356786071,0.0016876144593565045,10,123,33,False,False,,0.8890 ± 0.0016,0.8888 ± 0.0016,15.09 ± 2.18,0.9643 ± 0.0017,0.8890 $\pm$ 0.0016,0.8888 $\pm$ 0.0016,15.09 $\pm$ 2.18,0.9643 $\pm$ 0.0017
T5-small,1000,T5-small student results for FS=1000.,tab:t5small_fs1000,0.1,0.1,0.8889605263157895,0.0017570703147867894,0.888783086782297,0.0018104260797341422,13.651984380364107,1.3458810146808817,0.9641929499072356,0.0019057705711973132,10,123,34,False,False,,0.8890 ± 0.0018,0.8888 ± 0.0018,13.65 ± 1.35,0.9642 ± 0.0019,0.8890 $\pm$ 0.0018,0.8888 $\pm$ 0.0018,13.65 $\pm$ 1.35,0.9642 $\pm$ 0.0019
T5-small,1000,T5-small student results for FS=1000.,tab:t5small_fs1000,0.1,0.5,0.8888157894736841,0.0014782718900309434,0.8885896089758699,0.0015212006810243297,14.394960073550465,1.948426703645548,0.9640359640359639,0.0016033775316447944,10,123,35,False,False,,0.8888 ± 0.0015,0.8886 ± 0.0015,14.39 ± 1.95,0.9640 ± 0.0016,0.8888 $\pm$ 0.0015,0.8886 $\pm$ 0.0015,14.39 $\pm$ 1.95,0.9640 $\pm$ 0.0016
