run_name,type,model,ensemble_models,accuracy,f1_macro,params,latency_ms,size_mb,retain_ratio_vs_full,train_seed,support_seed,n_per_class,tau,alpha,epochs,lr,batch_size,max_len
teacher_distilbert-base-uncased_fs1000_supp123_seed8,teacher,distilbert-base-uncased,,0.9023684210526316,0.9021678526141,66956548,5.117902200011788,255.42286682128906,0.9527646568491247,8,123,1000,,,5,2e-05,8,128
teacher_distilbert-base-uncased_fs1000_supp123_seed5,teacher,distilbert-base-uncased,,0.8980263157894737,0.8983986669058859,66956548,4.555939933319071,255.42286682128906,0.9481800500138927,5,123,1000,,,5,2e-05,8,128
teacher_distilbert-base-uncased_fs1000_supp123_seed4,teacher,distilbert-base-uncased,,0.8969736842105264,0.8968767043789461,66956548,4.782969833255872,255.42286682128906,0.9470686301750486,4,123,1000,,,5,2e-05,8,128
teacher_distilbert-base-uncased_fs1000_supp123_seed7,teacher,distilbert-base-uncased,,0.8957894736842106,0.8962407016770108,66956548,4.804247133294363,255.42286682128906,0.945818282856349,7,123,1000,,,5,2e-05,8,128
teacher_distilbert-base-uncased_fs1000_supp123_seed3,teacher,distilbert-base-uncased,,0.8880263157894737,0.8885684152015167,66956548,4.587050433368252,255.42286682128906,0.9376215615448735,3,123,1000,,,5,2e-05,8,128
teacher_distilbert-base-uncased_fs100_supp123_seed8,teacher,distilbert-base-uncased,,0.876578947368421,0.8763081026027132,66956548,3.575354700005088,255.42286682128906,0.9255348707974437,8,123,100,,,5,2e-05,8,128
teacher_distilbert-base-uncased_fs100_supp123_seed7,teacher,distilbert-base-uncased,,0.8747368421052631,0.8741959953482625,66956548,4.723411900010888,255.42286682128906,0.9235898860794665,7,123,100,,,5,2e-05,8,128
teacher_distilbert-base-uncased_fs100_supp123_seed9,teacher,distilbert-base-uncased,,0.873421052631579,0.8729316550230144,66956548,4.1088519333357,255.42286682128906,0.9222006112809114,9,123,100,,,5,2e-05,8,128
teacher_distilbert-base-uncased_fs100_supp123_seed5,teacher,distilbert-base-uncased,,0.8730263157894737,0.8720567543154512,66956548,3.821839499998229,255.42286682128906,0.9217838288413447,5,123,100,,,5,2e-05,8,128
teacher_distilbert-base-uncased_fs100_supp123_seed6,teacher,distilbert-base-uncased,,0.87,0.8696193871144788,66956548,4.114077366667364,255.42286682128906,0.9185884968046679,6,123,100,,,5,2e-05,8,128
teacher_distilbert-base-uncased_fs100_supp123_seed3,teacher,distilbert-base-uncased,,0.8621052631578947,0.8615989845132376,66956548,4.604154300003908,255.42286682128906,0.910252848013337,3,123,100,,,5,2e-05,8,128
teacher_distilbert-base-uncased_fs100_supp123_seed4,teacher,distilbert-base-uncased,,0.8531578947368421,0.8529221343762176,66956548,4.301709266659752,255.42286682128906,0.900805779383162,4,123,100,,,5,2e-05,8,128
teacher_distilbert-base-uncased_fs10_supp123_seed6,teacher,distilbert-base-uncased,,0.8432894736842105,0.8427846254814053,66956548,3.4762789999983092,255.42286682128906,0.8903862183939982,6,123,10,,,5,2e-05,8,128
teacher_distilbert-base-uncased_fs10_supp123_seed7,teacher,distilbert-base-uncased,,0.8318421052631579,0.8315816768127378,66956548,3.478573166660226,255.42286682128906,0.8782995276465685,7,123,10,,,5,2e-05,8,128
teacher_distilbert-base-uncased_fs10_supp123_seed8,teacher,distilbert-base-uncased,,0.8234210526315789,0.8210517985632643,66956548,3.352224666669675,255.42286682128906,0.8694081689358154,8,123,10,,,5,2e-05,8,128
teacher_distilbert-base-uncased_fs10_supp123_seed5,teacher,distilbert-base-uncased,,0.8060526315789474,0.8027944809585272,66956548,4.847747133328539,255.42286682128906,0.8510697415948875,5,123,10,,,5,2e-05,8,128
teacher_distilbert-base-uncased_fs10_supp123_seed3,teacher,distilbert-base-uncased,,0.8048684210526316,0.7990651028784915,66956548,4.476019400002921,255.42286682128906,0.8498193942761878,3,123,10,,,5,2e-05,8,128
teacher_distilbert-base-uncased_fs10_supp123_seed4,teacher,distilbert-base-uncased,,0.7890789473684211,0.7808505768691133,66956548,3.996197900005427,255.42286682128906,0.833148096693526,4,123,10,,,5,2e-05,8,128
teacher_distilbert-base-uncased_fs10_supp123_seed9,teacher,distilbert-base-uncased,,0.7852631578947369,0.7893352435677373,66956548,4.103582566663515,255.42286682128906,0.8291191997777161,9,123,10,,,5,2e-05,8,128
teacher_t5-small_fs1000_supp123_seed7,teacher,t5-small,,0.8867105263157895,0.8865695075497485,35332868,5.89310556667139,134.78419494628906,0.9617525331811047,7,123,1000,,,5,2e-05,8,128
teacher_t5-small_fs1000_supp123_seed6,teacher,t5-small,,0.8853947368421052,0.8850987973463658,35332868,5.854391700040651,134.78419494628906,0.9603253888968175,6,123,1000,,,5,2e-05,8,128
teacher_t5-small_fs1000_supp123_seed3,teacher,t5-small,,0.885,0.8847543924513497,35332868,6.304773133251729,134.78419494628906,0.9598972456115313,3,123,1000,,,5,2e-05,8,128
teacher_t5-small_fs1000_supp123_seed5,teacher,t5-small,,0.885,0.8845555986620597,35332868,5.302392999995694,134.78419494628906,0.9598972456115313,5,123,1000,,,5,2e-05,8,128
teacher_t5-small_fs1000_supp123_seed9,teacher,t5-small,,0.8847368421052632,0.8843778212110587,35332868,5.072404533393637,134.78419494628906,0.9596118167546739,9,123,1000,,,5,2e-05,8,128
teacher_t5-small_fs1000_supp123_seed4,teacher,t5-small,,0.8838157894736842,0.8833094948461877,35332868,5.574877866683892,134.78419494628906,0.9586128157556729,4,123,1000,,,5,2e-05,8,128
teacher_t5-small_fs1000_supp123_seed8,teacher,t5-small,,0.8838157894736842,0.8833394473634042,35332868,4.701991266680731,134.78419494628906,0.9586128157556729,8,123,1000,,,5,2e-05,8,128
teacher_t5-small_fs100_supp123_seed3,teacher,t5-small,,0.7113157894736842,0.7086676233942812,35332868,6.064622633323324,134.78419494628906,0.7715142000856288,3,123,100,,,5,2e-05,8,128
teacher_t5-small_fs100_supp123_seed5,teacher,t5-small,,0.6985526315789473,0.700713300500879,35332868,5.11734563333069,134.78419494628906,0.7576709005280433,5,123,100,,,5,2e-05,8,128
teacher_t5-small_fs100_supp123_seed8,teacher,t5-small,,0.6238157894736842,0.6084115708210223,35332868,4.836661633309329,134.78419494628906,0.6766091051805337,8,123,100,,,5,2e-05,8,128
teacher_t5-small_fs100_supp123_seed4,teacher,t5-small,,0.6119736842105263,0.577880465993353,35332868,4.527442833333832,134.78419494628906,0.6637648066219495,4,123,100,,,5,2e-05,8,128
teacher_t5-small_fs100_supp123_seed9,teacher,t5-small,,0.5873684210526315,0.5352999584728647,35332868,6.105173533334589,134.78419494628906,0.6370772085057799,9,123,100,,,5,2e-05,8,128
teacher_t5-small_fs100_supp123_seed7,teacher,t5-small,,0.5672368421052632,0.5032560367061056,35332868,4.959280900019773,134.78419494628906,0.6152419009561867,7,123,100,,,5,2e-05,8,128
teacher_t5-small_fs100_supp123_seed6,teacher,t5-small,,0.5177631578947368,0.4499665830870909,35332868,5.087751166668871,134.78419494628906,0.5615812758669901,6,123,100,,,5,2e-05,8,128
teacher_t5-small_fs10_supp123_seed7,teacher,t5-small,,0.3868421052631579,0.27759414729391774,35332868,4.4423516666673395,134.78419494628906,0.4195804195804196,7,123,10,,,5,2e-05,8,128
teacher_t5-small_fs10_supp123_seed3,teacher,t5-small,,0.36973684210526314,0.33533715907315453,35332868,5.286451766662974,134.78419494628906,0.40102754388468675,3,123,10,,,5,2e-05,8,128
teacher_t5-small_fs10_supp123_seed8,teacher,t5-small,,0.28618421052631576,0.21044842891207938,35332868,7.207311866670807,134.78419494628906,0.31040388183245327,8,123,10,,,5,2e-05,8,128
teacher_t5-small_fs10_supp123_seed6,teacher,t5-small,,0.2731578947368421,0.16294576158270463,35332868,6.192834266664704,134.78419494628906,0.2962751534180106,6,123,10,,,5,2e-05,8,128
