group_type,group_model,n_runs,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,retain_mean,retain_std
full,bert-base-uncased,1,0.9464473684210526,0.0,0.9464722177742799,0.0,,
full,bert-base-uncased,1,0.32973684210526316,0.0,0.2527355756334019,0.0,,
full,distilbert-base-uncased,1,0.9471052631578948,0.0,0.9471282215139885,0.0,,
full,distilbert-base-uncased,1,0.2669736842105263,0.0,0.15209869834034523,0.0,,
full,t5-small,1,0.9219736842105263,0.0,0.9219394017486409,0.0,,
full,t5-small,1,0.24460526315789474,0.0,0.10539019912798202,0.0,,
teacher,bert-base-uncased,3,0.9082017543859648,0.0027040460775084657,0.9080784295399247,0.0030434851149141987,0.9595903424625792,0.002857048545678382
teacher,bert-base-uncased,3,0.8649561403508771,0.012413365521994445,0.8644488132070002,0.012698363652456706,0.9138977709810464,0.013115748361901505
teacher,bert-base-uncased,3,0.6720614035087719,0.03677774767322013,0.6582080628758784,0.04504983878594902,0.7100885119792392,0.03885873520317987
teacher,distilbert-base-uncased,3,0.8987280701754385,0.008504249114467588,0.89850291322219,0.008688019133122098,3.3663545260390997,0.03185425986690661
teacher,distilbert-base-uncased,3,0.8624561403508771,0.007829039509998845,0.8623647169467658,0.0068458863933572554,3.230491210777066,0.029325135670769446
teacher,distilbert-base-uncased,3,0.8012280701754385,0.030555037909378913,0.7947019636882611,0.03955590414975961,3.0011499917857734,0.1144496245003844
teacher,t5-small,3,0.8861403508771931,0.000770982273300308,0.8857684386645976,0.0006418121422665423,3.622736238120853,0.0031519447429167132
teacher,t5-small,3,0.5704385964912281,0.022259927806821646,0.5234296087066804,0.03567989532904253,2.3320781782320243,0.09100347032374645
teacher,t5-small,3,0.2849122807017544,0.017717941150045956,0.19301045601567454,0.018493897172461388,1.1647839340147033,0.07243483202815985
student,bert-base-uncased,3,0.9085964912280703,0.004034849344598944,0.9086052420353102,0.003844907923100059,0.9600074146160619,0.004263152372994881
student,bert-base-uncased,3,0.8768421052631578,0.005056810223835683,0.8768633284998556,0.004819567866455927,0.92645627693591,0.005342938648846296
student,bert-base-uncased,3,0.6555263157894737,0.04242967131984706,0.6277599164183735,0.04789844687942299,0.6926178228833587,0.04483046045194462
student,distilbert-base-uncased,3,0.9058771929824562,0.003504383220252307,0.905680472782436,0.0036555274541922073,3.3931329061935274,0.013126324531255602
student,distilbert-base-uncased,3,0.8675438596491228,0.0005933223358977474,0.8671612902236667,0.0006939003933753311,3.249548217512732,0.0022224000753193036
student,distilbert-base-uncased,3,0.7935964912280702,0.011421123372729401,0.7905803965035547,0.013552017161414555,2.9725644816822743,0.04277995940499934
student,t5-small,3,0.8891666666666667,0.0007246803351691728,0.8889390702459825,0.0006495461313829993,3.635108481262327,0.002962652257819219
student,t5-small,3,0.6931578947368422,0.06105901169022682,0.6916453733683197,0.06290630963346243,2.833781603012372,0.2496226405840364
student,t5-small,3,0.2982456140350877,0.0698599129190434,0.27016629682567866,0.07020494306997106,1.2192935269858347,0.28560265636618076
ensemble,ensemble,3,0.9112280701754386,0.0002009901620595,0.9110556718811932,9.640358379755272e-05,,
ensemble,ensemble,3,0.8727631578947368,0.004158810691915548,0.8726441639870393,0.004455057977987829,,
ensemble,ensemble,3,0.7944736842105263,0.014934645252193499,0.7922770418340722,0.018444583413949764,,
ensemble,ensemble,2,0.6071052631578948,0.4841820643808939,0.549028022777329,0.5663343707990689,,
