section_model,section_fs,caption,label,tau,alpha,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,latency_mean,latency_std,retain_mean,retain_std,n_runs,support_seed,rank_in_section,is_best_accuracy,is_best_latency,row_color,Accuracy (± std),F1 Macro (± std),"Latency (± std, ms)",Retain (± std),Accuracy (LaTeX),F1 Macro (LaTeX),Latency (LaTeX),Retain (LaTeX)
BERT,10,BERT student results for FS=10.,tab:bert_fs10,1.0,0.7,0.6519473684210527,0.030278460407789084,0.6416882082346426,0.03320293259171515,7.141841633382077,1.1414763825638143,0.6888363686917836,0.03199170013891242,10,123,13,False,False,,0.6519 ± 0.0303,0.6417 ± 0.0332,7.14 ± 1.14,0.6888 ± 0.0320,0.6519 $\pm$ 0.0303,0.6417 $\pm$ 0.0332,7.14 $\pm$ 1.14,0.6888 $\pm$ 0.0320
BERT,10,BERT student results for FS=10.,tab:bert_fs10,2.0,0.3,0.6507631578947368,0.05319503942234044,0.6380085801392774,0.05447009251318014,6.817095893384247,0.8583215458590792,0.6875851522313361,0.0562049631043775,10,123,14,False,False,,0.6508 ± 0.0532,0.6380 ± 0.0545,6.82 ± 0.86,0.6876 ± 0.0562,0.6508 $\pm$ 0.0532,0.6380 $\pm$ 0.0545,6.82 $\pm$ 0.86,0.6876 $\pm$ 0.0562
BERT,10,BERT student results for FS=10.,tab:bert_fs10,1.0,0.9,0.6498421052631578,0.05051915001574478,0.6399803699249773,0.054911051163154846,6.620729373359306,0.9095398710292352,0.68661198387321,0.053377664412576166,10,123,15,False,False,,0.6498 ± 0.0505,0.6400 ± 0.0549,6.62 ± 0.91,0.6866 ± 0.0534,0.6498 $\pm$ 0.0505,0.6400 $\pm$ 0.0549,6.62 $\pm$ 0.91,0.6866 $\pm$ 0.0534
BERT,10,BERT student results for FS=10.,tab:bert_fs10,2.0,0.7,0.6491052631578947,0.02748784672271591,0.6413208008687352,0.026584211431915115,7.401070520046839,1.2442777556817168,0.6858334491867093,0.02904318574901168,10,123,16,False,False,,0.6491 ± 0.0275,0.6413 ± 0.0266,7.40 ± 1.24,0.6858 ± 0.0290,0.6491 $\pm$ 0.0275,0.6413 $\pm$ 0.0266,7.40 $\pm$ 1.24,0.6858 $\pm$ 0.0290
BERT,10,BERT student results for FS=10.,tab:bert_fs10,0.1,0.3,0.6487631578947368,0.044649906931383695,0.6417858037228081,0.043004197767108336,6.674745899957392,0.9406074873886353,0.6854719866536911,0.047176323186224944,10,123,17,False,False,,0.6488 ± 0.0446,0.6418 ± 0.0430,6.67 ± 0.94,0.6855 ± 0.0472,0.6488 $\pm$ 0.0446,0.6418 $\pm$ 0.0430,6.67 $\pm$ 0.94,0.6855 $\pm$ 0.0472
BERT,10,BERT student results for FS=10.,tab:bert_fs10,0.1,0.7,0.6473947368421051,0.058918996409380406,0.6387662698934243,0.059970651095353746,6.7916795800708005,1.0956814488198279,0.6840261365216183,0.062252797540844035,10,123,18,False,False,,0.6474 ± 0.0589,0.6388 ± 0.0600,6.79 ± 1.10,0.6840 ± 0.0623,0.6474 $\pm$ 0.0589,0.6388 $\pm$ 0.0600,6.79 $\pm$ 1.10,0.6840 $\pm$ 0.0623
BERT,10,BERT student results for FS=10.,tab:bert_fs10,2.0,0.9,0.6468815789473684,0.052628108438209434,0.6364205912586368,0.05713004088907597,7.172907613313933,0.8992204199457345,0.6834839427220909,0.055605953584094515,10,123,19,False,False,,0.6469 ± 0.0526,0.6364 ± 0.0571,7.17 ± 0.90,0.6835 ± 0.0556,0.6469 $\pm$ 0.0526,0.6364 $\pm$ 0.0571,7.17 $\pm$ 0.90,0.6835 $\pm$ 0.0556
BERT,10,BERT student results for FS=10.,tab:bert_fs10,1.5,0.9,0.6460657894736841,0.054180655555668415,0.6356555567853915,0.05854220346411033,7.173899259931507,1.212555824811226,0.6826219936048936,0.057246348147237586,10,123,20,False,False,,0.6461 ± 0.0542,0.6357 ± 0.0585,7.17 ± 1.21,0.6826 ± 0.0572,0.6461 $\pm$ 0.0542,0.6357 $\pm$ 0.0585,7.17 $\pm$ 1.21,0.6826 $\pm$ 0.0572
BERT,10,BERT student results for FS=10.,tab:bert_fs10,0.1,0.9,0.6446842105263157,0.05608646673938459,0.6346366223097302,0.06155061442411807,6.846118873368141,1.3037399073673002,0.6811622410677047,0.059259995442697465,10,123,21,False,False,,0.6447 ± 0.0561,0.6346 ± 0.0616,6.85 ± 1.30,0.6812 ± 0.0593,0.6447 $\pm$ 0.0561,0.6346 $\pm$ 0.0616,6.85 $\pm$ 1.30,0.6812 $\pm$ 0.0593
BERT,10,BERT student results for FS=10.,tab:bert_fs10,3.0,0.9,0.6446447368421053,0.05074483880892033,0.6345258120904391,0.05480604712506812,6.854794913394168,1.2125238586183509,0.6811205338523565,0.05361612330707557,10,123,22,False,False,,0.6446 ± 0.0507,0.6345 ± 0.0548,6.85 ± 1.21,0.6811 ± 0.0536,0.6446 $\pm$ 0.0507,0.6345 $\pm$ 0.0548,6.85 $\pm$ 1.21,0.6811 $\pm$ 0.0536
BERT,10,BERT student results for FS=10.,tab:bert_fs10,1.0,0.5,0.6434605263157895,0.044226537844809656,0.6328400172318235,0.04536630401792103,7.086361199976636,1.032806275277521,0.6798693173919089,0.04672899869603133,10,123,23,False,False,,0.6435 ± 0.0442,0.6328 ± 0.0454,7.09 ± 1.03,0.6799 ± 0.0467,0.6435 $\pm$ 0.0442,0.6328 $\pm$ 0.0454,7.09 $\pm$ 1.03,0.6799 $\pm$ 0.0467
